trip_id,timestamp,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,distance_km,duration_min,fare,driver_id,vehicle_type,payment_type,weather,time_of_day,surge_multiplier,passenger_count,rating,is_cancelled,high_fare
T000085,2024-08-17 20:44:00,13.169289,77.806751,13.194817,77.8258,3.826,11.1,12.84,DR0605,SUV,UPI,Cloudy,Evening,1.0,1,5.0,0,0
T000086,2024-09-12 14:19:00,13.01571,77.75139,13.017216,77.745978,0.642,2.0,4.12,DR0647,SUV,Card,Clear,Evening,1.0,3,4.5,0,0
T000087,2024-02-05 11:42:00,13.046809,77.56103,13.074156,77.550613,6.092,4.5,9.7,DR0588,Sedan,Wallet,Clear,Morning,1.25,3,5.0,0,0
T000088,2024-04-24 00:19:00,12.829298,77.529201,12.814765,77.531755,2.958,2.0,4.61,DR0551,Bike,nan,Cloudy,Afternoon,1.0,4,4.2,1,0
T000089,2024-10-07 06:18:00,12.871254,77.745849,12.869788,77.742941,0.391,2.0,1.5,DR0599,Sedan,Card,Cloudy,Afternoon,1.0,3,3.6,0,0
T000090,2024-10-30 18:35:00,12.84038,77.70011,12.830764,77.66506,6.561,6.1,9.05,DR0639,MiniVan,Card,Rainy,Afternoon,1.0,4,4.4,0,0
T000091,2024-06-07 20:29:00,13.105925,77.595215,13.121779,77.633497,5.771,2.5,18.75,DR0533,Sedan,Card,Clear,Morning,1.0,3,4.8,0,1
T000092,2024-10-20 17:44:00,13.134368,77.617108,13.114079,77.631395,2.757,2.0,9.18,DR0409,Hatchback,UPI,Cloudy,Night,1.0,3,4.4,0,0
T000093,2024-11-03 05:13:00,12.874582,77.656835,12.868147,77.647565,2.533,2.0,9.23,DR0186,Sedan,UPI,Rainy,Night,1.0,3,4.6,0,0
T000094,2024-05-21 10:18:00,12.887709,77.698208,12.850515,77.659881,6.021,6.4,14.76,DR0602,Sedan,UPI,Clear,Afternoon,1.0,2,4.6,0,0
T000095,2024-11-23 19:14:00,12.929283,77.656104,12.94117,77.652495,3.277,15.9,10.17,DR0470,Hatchback,Wallet,Clear,Afternoon,1.0,1,4.2,0,0
T000096,2024-04-15 05:45:00,13.036431,77.654917,13.061367,77.643157,3.661,2.0,7.03,DR0154,MiniVan,Cash,Cloudy,Evening,1.0,1,5.0,0,0
T000097,2024-03-28 10:31:00,13.048718,77.546293,13.066933,77.545082,3.011,10.7,15.4,DR0222,SUV,Card,Cloudy,Afternoon,1.0,3,4.6,0,0
T000098,2024-09-06 02:39:00,13.074702,77.846236,13.090954,77.802959,6.796,20.0,12.24,DR0784,Hatchback,Card,Clear,Afternoon,1.25,2,4.3,0,0
T000099,2024-08-20 10:02:00,13.162077,77.743662,13.178865,77.734217,3.126,10.1,7.21,DR0733,Sedan,Card,Cloudy,Evening,1.0,3,5.0,0,0
T000100,2024-02-21 00:13:00,12.918016,77.558441,12.93201,77.550214,2.589,7.4,5.14,DR0059,MiniVan,Card,Clear,Morning,1.5,3,4.2,0,0
T000101,2024-10-30 22:46:00,13.063504,77.66955,13.075792,77.665704,3.25,13.7,11.56,DR0042,Sedan,Card,Clear,Evening,1.0,1,4.7,0,0
T000102,2024-03-13 23:11:00,13.023889,77.666686,13.037467,77.661962,2.745,8.4,4.88,DR0691,Hatchback,Cash,Clear,Morning,1.0,4,4.4,0,0
T000103,2024-10-20 18:54:00,12.922335,77.740248,12.909221,77.741293,2.724,9.4,9.92,DR0542,MiniVan,Cash,Clear,Afternoon,1.0,4,4.1,0,0
T000104,2024-01-03 16:29:00,13.162966,77.743548,13.158962,77.773971,4.323,6.9,14.82,DR0411,Sedan,Card,Cloudy,Afternoon,1.0,4,5.0,0,0
T000105,2024-10-17 20:20:00,12.838193,77.758089,12.839598,77.747789,1.788,2.0,7.46,DR0697,Sedan,Card,Rainy,Night,1.0,2,4.6,0,0
T000106,2024-10-14 05:27:00,13.0848,77.779161,13.078086,77.760938,3.207,14.3,7.4,DR0382,Bike,Wallet,Clear,Evening,1.0,4,4.1,0,0
T000107,2024-10-11 19:59:00,13.091149,77.541342,13.059823,77.506795,5.851,21.3,16.72,DR0268,Sedan,Cash,Rainy,Morning,1.25,1,5.0,0,1
T000108,2024-08-30 16:05:00,13.166131,77.621969,13.14143,77.611747,5.566,11.2,10.37,DR0145,Hatchback,Cash,Clear,Morning,1.0,2,4.6,0,0
T000109,2024-06-21 02:55:00,13.007432,77.506939,13.012032,77.478914,3.167,5.5,14.85,DR0203,MiniVan,Card,Clear,Morning,1.0,4,5.0,0,0
T000110,2024-09-14 09:14:00,12.928649,77.681857,12.946764,77.701059,4.075,10.0,6.82,DR0229,Sedan,Wallet,Foggy,Evening,1.0,2,5.0,0,0
T000111,2024-04-11 03:35:00,13.131096,77.671772,13.131283,77.66985,0.447,2.0,3.14,DR0090,SUV,Cash,Clear,Evening,1.0,4,4.0,0,0
T000112,2024-10-11 23:11:00,13.108324,77.793731,13.163621,77.81252,6.51,6.9,13.25,DR0340,SUV,Wallet,Rainy,Afternoon,1.0,3,4.9,0,0
T000113,2024-07-21 19:28:00,13.000126,77.566847,12.981731,77.596161,4.291,9.1,12.3,DR0415,Sedan,Card,Rainy,Evening,1.0,3,5.0,0,0
T000114,2024-06-16 12:06:00,13.107143,77.752598,13.116042,77.735297,2.405,4.5,5.14,DR0582,Sedan,Card,Rainy,Morning,1.25,4,4.7,0,0
T000115,2024-07-03 13:06:00,12.90715,77.622678,12.932974,77.61573,3.441,6.3,8.91,DR0152,SUV,Card,Rainy,Evening,1.0,2,5.0,0,0
T000116,2024-07-26 14:10:00,13.035803,77.652767,13.057116,77.6794,4.117,10.7,6.57,DR0793,Sedan,Card,Clear,Evening,1.0,1,4.4,0,0
T000117,2024-01-14 14:25:00,13.146073,77.787715,13.159175,77.791499,2.944,3.8,7.66,DR0472,SUV,Card,Foggy,Evening,1.0,3,5.0,0,0
T000118,2024-02-21 00:37:00,12.927194,77.528619,12.948599,77.539049,4.015,2.7,10.43,DR0153,MiniVan,Card,Clear,Morning,1.0,2,4.4,0,0
T000119,2024-03-30 14:24:00,12.99342,77.637113,12.994528,77.657773,2.384,8.4,9.31,DR0458,Sedan,Card,Rainy,Morning,1.0,3,5.0,0,0
T000120,2024-02-11 19:17:00,13.180418,77.656529,13.213676,77.67446,5.421,15.7,8.87,DR0403,Sedan,Card,Clear,Afternoon,1.5,3,4.8,0,0
T000121,2024-06-09 11:00:00,13.119285,77.7863,13.144948,77.794507,5.464,7.0,14.14,DR0104,SUV,Wallet,Clear,Evening,1.0,2,4.8,0,0
T000122,2024-08-31 23:12:00,13.154816,77.57969,13.137771,77.607617,4.078,9.2,8.23,DR0408,Hatchback,Card,Clear,Afternoon,1.0,3,4.1,0,0
T000123,2024-08-26 20:47:00,12.954099,77.878965,12.96053,77.8776,0.861,2.0,3.66,DR0554,Hatchback,Card,Rainy,Morning,1.0,2,5.0,0,0
T000124,2024-06-20 22:48:00,13.198602,77.899105,13.167656,77.909493,4.819,15.3,12.72,DR0025,Hatchback,Card,Clear,Morning,2.0,1,4.3,0,0
T000125,2024-11-08 02:30:00,12.861026,77.827564,12.891462,77.824029,3.683,9.4,18.33,DR0734,Bike,Cash,Cloudy,Afternoon,1.0,1,5.0,0,1
T000126,2024-07-25 07:28:00,13.007508,77.619885,13.011993,77.640296,2.571,7.3,6.96,DR0763,SUV,Card,Cloudy,Night,1.0,4,4.8,0,0
T000127,2024-01-29 21:46:00,12.991709,77.765547,13.018685,77.751531,4.183,7.3,7.22,DR0745,Hatchback,Wallet,Cloudy,Afternoon,1.0,4,4.8,0,0
T000128,2024-10-06 05:23:00,13.119373,77.533259,13.117186,77.499602,5.126,7.3,16.89,DR0776,Sedan,Card,Clear,Morning,1.0,3,4.4,0,1
T000129,2024-07-28 17:30:00,13.163447,77.848512,13.126322,77.86161,5.047,12.3,17.54,DR0120,Sedan,Cash,Windy,Afternoon,1.0,1,4.5,0,1
T000130,2024-08-19 16:07:00,13.092456,77.706397,13.145203,77.685994,7.744,18.2,16.38,DR0144,SUV,UPI,Clear,Afternoon,1.0,3,4.0,0,1
T000131,2024-07-25 08:40:00,13.050726,77.570576,13.053348,77.548191,3.203,5.5,9.05,DR0659,Sedan,Wallet,Clear,Morning,1.0,3,5.0,0,0
T000132,2024-07-21 01:21:00,12.970972,77.630967,12.950968,77.656265,3.671,7.7,13.41,DR0093,Sedan,UPI,Clear,Afternoon,1.0,3,4.8,0,0
T000133,2024-02-03 01:21:00,13.00413,77.820297,13.027046,77.839623,4.163,3.3,16.65,DR0599,Sedan,Wallet,Foggy,Morning,1.0,2,5.0,0,1
T000134,2024-07-23 02:39:00,13.00372,77.848091,13.044437,77.841241,4.959,2.0,9.67,DR0083,MiniVan,Wallet,Rainy,Morning,1.0,4,4.5,0,0
T000135,2024-10-17 03:26:00,12.808147,77.707885,12.804099,77.646976,8.933,14.5,20.05,DR0770,Hatchback,UPI,Clear,Morning,1.0,1,5.0,0,1
T000136,2024-04-20 22:36:00,13.001218,77.692125,12.999233,77.702789,2.702,2.0,5.44,DR0441,MiniVan,Card,Rainy,Evening,1.0,3,4.2,0,0
T000137,2024-08-08 00:51:00,13.142388,77.800294,13.147149,77.813544,3.256,2.8,7.2,DR0198,Sedan,UPI,Clear,Afternoon,1.0,3,4.8,0,0
T000138,2024-01-12 05:57:00,13.08371,77.830476,13.06149,77.840812,3.061,2.1,8.94,DR0166,Hatchback,nan,Clear,Morning,1.0,3,4.9,1,0
T000139,2024-05-06 20:05:00,13.118283,77.805939,13.10447,77.815356,3.278,5.2,6.49,DR0461,SUV,UPI,Clear,Afternoon,1.0,2,4.8,0,0
T000140,2024-06-08 09:38:00,12.956194,77.653771,12.991833,77.650143,4.779,3.1,17.27,DR0140,MiniVan,Wallet,Clear,Night,1.0,1,4.5,0,1
T000141,2024-12-24 16:47:00,13.011589,77.75677,13.008945,77.748561,1.788,4.7,9.2,DR0429,Hatchback,Card,Foggy,Morning,1.0,3,4.1,0,0
T000142,2024-03-19 07:45:00,12.813393,77.842944,12.796642,77.820821,7.486,10.8,15.33,DR0607,Sedan,Cash,Rainy,Afternoon,1.0,3,4.6,0,0
T000143,2024-04-10 22:33:00,12.953199,77.560704,12.944158,77.546756,2.333,4.9,2.71,DR0663,SUV,Card,Clear,Afternoon,1.0,2,4.4,0,0
T000144,2024-05-29 02:42:00,12.989766,77.655255,13.011223,77.661684,2.606,9.3,9.61,DR0783,Hatchback,Cash,Clear,Afternoon,1.0,2,5.0,0,0
T000145,2024-12-28 07:45:00,12.902084,77.522648,12.862566,77.529406,6.467,24.7,18.73,DR0061,Sedan,Card,Cloudy,Afternoon,1.0,4,4.9,0,1
T000146,2024-11-07 11:48:00,12.812496,77.663551,12.817589,77.679347,5.111,11.9,9.47,DR0683,MiniVan,UPI,Clear,Evening,1.0,4,4.7,0,0
T000147,2024-01-13 15:54:00,13.076163,77.808913,13.125408,77.780784,6.879,13.2,9.67,DR0418,Hatchback,Card,Cloudy,Evening,1.0,3,5.0,0,0
T000148,2024-03-26 09:18:00,12.974035,77.578811,13.014656,77.545627,6.04,8.8,9.93,DR0657,Hatchback,UPI,Clear,Afternoon,1.0,2,4.9,0,0
T000149,2024-10-26 21:52:00,12.966271,77.716755,12.977735,77.709161,2.198,6.9,6.36,DR0361,MiniVan,Card,Clear,Evening,1.25,2,3.9,0,0
T000150,2024-01-22 06:43:00,12.899995,77.514634,12.926324,77.494235,3.77,2.0,8.12,DR0394,MiniVan,Cash,Clear,Morning,1.0,4,5.0,0,0
T000151,2024-11-08 07:40:00,13.015132,77.85906,13.041269,77.86278,3.365,2.0,8.15,DR0788,SUV,nan,Clear,Evening,1.0,3,4.8,1,0
T000152,2024-04-12 16:55:00,12.975211,77.828002,12.972694,77.801804,4.887,2.0,13.23,DR0369,MiniVan,Card,Cloudy,Evening,1.0,2,4.8,0,0
T000153,2024-11-30 22:37:00,12.989594,77.709764,13.00809,77.733368,4.221,4.6,16.31,DR0657,Hatchback,Card,Cloudy,Morning,1.0,3,4.6,0,1
T000154,2024-04-17 03:52:00,13.032349,77.782315,13.06812,77.765874,4.673,18.5,11.53,DR0662,MiniVan,Card,Clear,Evening,1.0,1,4.4,0,0
T000155,2024-06-07 12:36:00,12.80253,77.541566,12.777255,77.57342,6.512,9.1,20.11,DR0765,SUV,Card,Clear,Morning,1.0,2,4.2,0,1
T000156,2024-08-29 14:23:00,13.163078,77.838084,13.174611,77.84857,1.806,2.9,6.82,DR0124,MiniVan,Card,Cloudy,Evening,1.0,2,5.0,0,0
T000157,2024-02-16 02:13:00,12.828435,77.786105,12.835664,77.765,2.582,9.3,7.28,DR0557,MiniVan,UPI,Rainy,Afternoon,1.0,4,4.4,0,0
T000158,2024-07-22 07:36:00,12.98037,77.547987,12.982433,77.589882,5.019,11.4,12.37,DR0553,Hatchback,Card,Clear,Morning,1.0,2,4.4,0,0
T000159,2024-07-03 07:56:00,12.882949,77.892276,12.883242,77.897585,1.523,2.0,7.96,DR0192,MiniVan,Card,Clear,Night,1.0,4,5.0,0,0
T000160,2024-10-13 02:56:00,13.009513,77.509012,13.014146,77.512335,3.094,9.0,7.49,DR0418,Hatchback,Card,Clear,Morning,2.0,1,4.4,0,0
